"filename", "language", "C++", "Shell Script", "Markdown", "Properties", "YAML", "Dart", "Java", "Objective-C", "Swift", "Ruby", "C", "Gradle", "XML", "comment", "blank", "total"
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/stai/Documents/dev/mimikami/packages/article/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 4, 13
"/Users/stai/Documents/dev/mimikami/packages/article/macos/Flutter/ephemeral/flutter_export_environment.sh", "Shell Script", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 13
"/Users/stai/Documents/dev/mimikami/packages/article/pubspec.yaml", "YAML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 32, 14, 84
"/Users/stai/Documents/dev/mimikami/packages/article/test/article_test.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 3, 13
"/Users/stai/Documents/dev/mimikami/packages/article/windows/flutter/generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/stai/Documents/dev/mimikami/packages/article/windows/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/stai/Documents/dev/mimikami/packages/common/CHANGELOG.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/stai/Documents/dev/mimikami/packages/common/README.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 40
"/Users/stai/Documents/dev/mimikami/packages/common/analysis_options.yaml", "YAML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 5
"/Users/stai/Documents/dev/mimikami/packages/common/android/app/src/main/java/io/flutter/plugins/GeneratedPluginRegistrant.java", "Java", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 4, 24
"/Users/stai/Documents/dev/mimikami/packages/common/android/local.properties", "Properties", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/stai/Documents/dev/mimikami/packages/common/ios/Flutter/flutter_export_environment.sh", "Shell Script", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 14
"/Users/stai/Documents/dev/mimikami/packages/common/ios/Runner/GeneratedPluginRegistrant.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 20
"/Users/stai/Documents/dev/mimikami/packages/common/ios/Runner/GeneratedPluginRegistrant.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 6, 15
"/Users/stai/Documents/dev/mimikami/packages/common/lib/common.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/stai/Documents/dev/mimikami/packages/common/lib/src/logger.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 6, 3, 16
"/Users/stai/Documents/dev/mimikami/packages/common/lib/src/vibration_widget.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 47, 17, 100
"/Users/stai/Documents/dev/mimikami/packages/common/linux/flutter/generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/stai/Documents/dev/mimikami/packages/common/linux/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/stai/Documents/dev/mimikami/packages/common/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 4, 11
"/Users/stai/Documents/dev/mimikami/packages/common/macos/Flutter/ephemeral/flutter_export_environment.sh", "Shell Script", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 13
"/Users/stai/Documents/dev/mimikami/packages/common/pubspec.yaml", "YAML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 32, 8, 58
"/Users/stai/Documents/dev/mimikami/packages/common/test/common_test.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 3, 13
"/Users/stai/Documents/dev/mimikami/packages/common/windows/flutter/generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/stai/Documents/dev/mimikami/packages/common/windows/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/stai/Documents/dev/mimikami/packages/local_db/CHANGELOG.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/stai/Documents/dev/mimikami/packages/local_db/README.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 40
"/Users/stai/Documents/dev/mimikami/packages/local_db/analysis_options.yaml", "YAML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 11
"/Users/stai/Documents/dev/mimikami/packages/local_db/android/app/src/main/java/io/flutter/plugins/GeneratedPluginRegistrant.java", "Java", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 4, 24
"/Users/stai/Documents/dev/mimikami/packages/local_db/android/local.properties", "Properties", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/stai/Documents/dev/mimikami/packages/local_db/build.yaml", "YAML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/stai/Documents/dev/mimikami/packages/local_db/ios/Flutter/flutter_export_environment.sh", "Shell Script", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 14
"/Users/stai/Documents/dev/mimikami/packages/local_db/ios/Runner/GeneratedPluginRegistrant.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 20
"/Users/stai/Documents/dev/mimikami/packages/local_db/ios/Runner/GeneratedPluginRegistrant.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 6, 15
"/Users/stai/Documents/dev/mimikami/packages/local_db/lib/local_db.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/stai/Documents/dev/mimikami/packages/local_db/lib/src/articles.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/stai/Documents/dev/mimikami/packages/local_db/lib/src/database.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 14, 10, 53
"/Users/stai/Documents/dev/mimikami/packages/local_db/lib/src/local_db_drift.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/CHANGELOG.md", "Markdown", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 96
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/integration_test/path_provider_test.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 5, 10, 61
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 10, 12, 100
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/main.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 16
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/my_application.cc", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 50
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 23
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/pubspec.yaml", "YAML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 31
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/test_driver/integration_test.dart", "Dart", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 3, 8
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/path_provider_linux.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id.dart", "Dart", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 6, 2, 10
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id_real.dart", "Dart", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 12, 12, 79
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id_stub.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 2, 7
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/path_provider_linux.dart", "Dart", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 15, 16, 93
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/pubspec.yaml", "YAML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test/get_application_id_test.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 3, 13, 63
"/Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test/path_provider_linux_test.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 4, 10, 65
